"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2019","4,070","4,080","4,110","4,050","80.86M","-0.73%"
"Dec 06, 2019","4,100","4,040","4,100","4,020","50.68M","0.99%"
"Dec 05, 2019","4,060","3,990","4,080","3,990","118.49M","1.75%"
"Dec 04, 2019","3,990","3,920","3,990","3,900","64.95M","1.79%"
"Dec 03, 2019","3,920","3,920","3,940","3,910","74.49M","-0.76%"
"Dec 02, 2019","3,950","3,960","3,960","3,930","74.26M","0.51%"
"Nov 29, 2019","3,930","3,860","3,950","3,840","72.15M","2.88%"
"Nov 28, 2019","3,820","3,830","3,900","3,800","70.64M","-1.55%"
"Nov 27, 2019","3,880","3,870","3,930","3,800","97.51M","0.52%"
"Nov 26, 2019","3,860","3,950","3,960","3,860","281.00M","-2.28%"
"Nov 25, 2019","3,950","4,070","4,070","3,940","107.58M","-2.47%"
"Nov 22, 2019","4,050","4,030","4,050","4,000","76.57M","0.75%"
"Nov 21, 2019","4,020","4,050","4,090","4,020","64.01M","-1.71%"
"Nov 20, 2019","4,090","4,000","4,090","4,000","149.19M","1.74%"
"Nov 19, 2019","4,020","4,000","4,020","3,970","114.00M","0.50%"
"Nov 18, 2019","4,000","4,040","4,060","3,990","104.98M","-1.96%"
"Nov 15, 2019","4,080","4,080","4,090","4,030","50.78M","0.74%"
"Nov 14, 2019","4,050","4,110","4,130","4,010","123.47M","-2.41%"
"Nov 13, 2019","4,150","4,130","4,170","4,100","91.93M","-0.72%"
"Nov 12, 2019","4,180","4,050","4,190","4,050","88.25M","1.95%"
"Nov 11, 2019","4,100","4,040","4,120","4,040","57.08M","-0.24%"
"Nov 08, 2019","4,110","4,010","4,120","3,990","70.40M","0.98%"
"Nov 07, 2019","4,070","4,150","4,150","3,990","125.29M","-1.21%"
"Nov 06, 2019","4,120","4,180","4,190","4,110","134.62M","-1.90%"
"Nov 05, 2019","4,200","4,170","4,200","4,130","109.28M","1.20%"
"Nov 04, 2019","4,150","4,080","4,160","4,080","65.90M","1.72%"
"Nov 01, 2019","4,080","4,090","4,150","4,060","107.21M","-0.73%"
"Oct 31, 2019","4,110","4,220","4,240","4,080","185.71M","-3.75%"
"Oct 30, 2019","4,270","4,290","4,350","4,210","89.58M","-1.39%"
"Oct 29, 2019","4,330","4,230","4,330","4,220","68.72M","1.64%"
"Oct 28, 2019","4,260","4,280","4,280","4,220","30.71M","-0.47%"
"Oct 25, 2019","4,280","4,320","4,360","4,270","67.66M","-1.61%"
"Oct 24, 2019","4,350","4,300","4,350","4,250","99.21M","2.11%"
"Oct 23, 2019","4,260","4,210","4,270","4,210","97.97M","0.71%"
"Oct 22, 2019","4,230","4,200","4,250","4,200","56.71M","0.71%"
"Oct 21, 2019","4,200","4,200","4,250","4,190","63.80M","0.24%"
"Oct 18, 2019","4,190","4,170","4,190","4,160","169.54M","0.48%"
"Oct 17, 2019","4,170","4,160","4,180","4,140","50.70M","0.00%"
"Oct 16, 2019","4,170","4,170","4,190","4,140","70.56M","0.00%"
"Oct 15, 2019","4,170","4,190","4,190","4,150","64.67M","-0.48%"
"Oct 14, 2019","4,190","4,200","4,210","4,150","52.68M","0.48%"
"Oct 11, 2019","4,170","4,100","4,170","4,100","42.20M","1.46%"
"Oct 10, 2019","4,110","4,060","4,120","4,060","34.35M","-0.24%"
"Oct 09, 2019","4,120","4,090","4,170","4,080","59.31M","0.73%"
"Oct 08, 2019","4,090","4,170","4,170","4,060","74.45M","-0.49%"
"Oct 07, 2019","4,110","4,240","4,240","4,090","43.00M","-1.91%"
"Oct 04, 2019","4,190","4,250","4,250","4,180","34.08M","-0.24%"
"Oct 03, 2019","4,200","4,190","4,250","4,160","56.43M","0.00%"
"Oct 02, 2019","4,200","4,260","4,300","4,190","51.61M","-1.18%"
"Oct 01, 2019","4,250","4,400","4,400","4,220","60.33M","-1.39%"
"Sep 30, 2019","4,310","4,270","4,330","4,270","111.88M","0.00%"
"Sep 27, 2019","4,310","4,310","4,350","4,300","52.31M","-1.15%"
"Sep 26, 2019","4,360","4,220","4,370","4,200","79.32M","3.32%"
"Sep 25, 2019","4,220","4,220","4,250","4,180","84.58M","0.24%"
"Sep 24, 2019","4,210","4,210","4,240","4,150","88.98M","-0.94%"
"Sep 23, 2019","4,250","4,290","4,300","4,230","70.48M","-0.93%"
"Sep 20, 2019","4,290","4,250","4,300","4,230","132.36M","1.90%"
"Sep 19, 2019","4,210","4,260","4,260","4,190","58.72M","-0.94%"
"Sep 18, 2019","4,250","4,250","4,280","4,230","72.36M","-0.47%"
"Sep 17, 2019","4,270","4,240","4,280","4,220","86.43M","1.18%"
"Sep 16, 2019","4,220","4,160","4,260","4,160","85.28M","1.44%"
"Sep 13, 2019","4,160","4,230","4,230","4,160","64.07M","-0.24%"
"Sep 12, 2019","4,170","4,220","4,230","4,160","70.38M","-1.88%"
"Sep 11, 2019","4,250","4,300","4,300","4,210","90.21M","-0.47%"
"Sep 10, 2019","4,270","4,300","4,300","4,250","80.40M","0.00%"
"Sep 09, 2019","4,270","4,280","4,300","4,240","47.06M","1.43%"
"Sep 06, 2019","4,210","4,360","4,360","4,210","117.22M","-2.55%"
"Sep 05, 2019","4,320","4,290","4,360","4,290","97.10M","0.70%"
"Sep 04, 2019","4,290","4,310","4,350","4,280","78.91M","-1.38%"
"Sep 03, 2019","4,350","4,440","4,440","4,330","66.88M","-1.36%"
"Sep 02, 2019","4,410","4,440","4,450","4,400","27.53M","-0.90%"
"Aug 30, 2019","4,450","4,430","4,450","4,420","95.14M","1.60%"
"Aug 29, 2019","4,380","4,370","4,440","4,370","65.72M","0.23%"
"Aug 28, 2019","4,370","4,430","4,430","4,350","68.09M","-0.23%"
"Aug 27, 2019","4,380","4,390","4,410","4,320","168.21M","1.15%"
"Aug 26, 2019","4,330","4,280","4,360","4,280","77.60M","-1.14%"
"Aug 23, 2019","4,380","4,390","4,450","4,340","83.82M","-1.57%"
"Aug 22, 2019","4,450","4,380","4,450","4,320","110.97M","0.91%"
"Aug 21, 2019","4,410","4,460","4,500","4,390","99.65M","-1.34%"
"Aug 20, 2019","4,470","4,350","4,470","4,340","143.17M","3.00%"
"Aug 19, 2019","4,340","4,340","4,340","4,290","86.01M","1.40%"
"Aug 16, 2019","4,280","4,300","4,310","4,220","51.85M","-0.23%"
"Aug 15, 2019","4,290","4,200","4,290","4,200","97.26M","0.00%"
"Aug 14, 2019","4,290","4,300","4,300","4,270","84.93M","0.94%"
"Aug 13, 2019","4,250","4,290","4,290","4,230","98.76M","-0.23%"
"Aug 12, 2019","4,260","4,300","4,320","4,230","41.82M","0.00%"
"Aug 09, 2019","4,260","4,300","4,300","4,240","89.60M","0.00%"
"Aug 08, 2019","4,260","4,270","4,290","4,240","95.20M","1.19%"
"Aug 07, 2019","4,210","4,230","4,270","4,170","104.79M","1.94%"
"Aug 06, 2019","4,130","4,060","4,190","4,050","108.89M","1.23%"
"Aug 05, 2019","4,080","4,200","4,220","4,060","112.25M","-4.67%"
"Aug 02, 2019","4,280","4,280","4,300","4,250","82.25M","0.00%"
"Aug 01, 2019","4,280","4,300","4,300","4,260","94.86M","-0.47%"
"Jul 31, 2019","4,300","4,240","4,300","4,210","175.74M","0.70%"
"Jul 30, 2019","4,270","4,280","4,300","4,260","88.42M","1.67%"
"Jul 29, 2019","4,200","4,150","4,240","4,140","54.34M","0.96%"
